Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
1,3,"Evelyn, the Covetous",BirthingPodder#6911,1,GMT -4,Dracosinus#5200,0,2,HAzor#3981,0,2,Mobboss#5574,2,0,33,33
2,3,"Raffine, Scheming Seer",Flashfan2#8956,2,GMT -5,Jollto#6429,0,2,Mobboss#5574,2,1,Dracosinus#5200,2,1,67,50
0,3,"Rusko, Clockmaker",Mobboss#5574,3,GMT +8,BirthingPodder#6911,0,2,Flashfan2#8956,1,2,Jollto#6429,0,2,0,14
2,3,"Chandra, Torch of Defiance",Jollto#6429,4,GMT +1,Mobboss#5574,2,0,Dracosinus#5200,1,2,Flashfan2#8956,2,0,67,71
2,3,"Azor, the Lawbringer",MatmaTaTor#9428,5,GMT +1,Mortred#7824,2,0,MathemaTiGer128#0607,2,0,MatthieuCrnll(Hobbrick)#6553,0,2,67,67
2,3,"Kinnan, Bonder Prodigy",Dracosinus#5200,6,GMT +1,Flashfan2#8956,1,2,Jollto#6429,2,1,BirthingPodder#6911,2,0,67,63
2,3,Old Stickfingers,MathemaTiGer128#0607,7,GMT +1,MatmaTaTor#9428,0,2,Skull (romain)#3826,2,0,HAzor#3981,2,0,67,67
2,3,"Ral, Storm Conduit",HAzor#3981,8,GMT -6,MathemaTiGer128#0607,0,2,BirthingPodder#6911,2,0,Skull (romain)#3826,2,1,67,57
0,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,9,GMT +1,HAzor#3981,1,2,MatthieuCrnll(Hobbrick)#6553,0,2,MathemaTiGer128#0607,0,2,0,14
2,3,"Adeline, Resplendent Cathar",MatthieuCrnll(Hobbrick)#6553,10,GMT +1,Skull (romain)#3826,2,0,MatmaTaTor#9428,2,0,Mortred#7824,0,2,67,67
2,3,"Yorion, Sky Nomad",Mortred#7824,11,GMT -8,MatthieuCrnll(Hobbrick)#6553,2,0,Myriad58#5983,2,1,MatmaTaTor#9428,0,2,67,57
0,3,"Chandra, Dressed to Kill",Myriad58#5983,12,GMT +8,themudman#8734,0,2,Mortred#7824,1,2,TitanLord#4251,1,2,0,25
3,3,"Teferi, Hero of Dominaria",TitanLord#4251,13,GMT -7,Myriad58#5983,2,1,Freyalisër#3719,2,0,themudman#8734,2,1,100,75
0,3,"Teferi, Hero of Dominaria",Freyalisër#3719,14,GMT +1,TitanLord#4251,0,2,OlafTheMoose#5751,0,2,AndenTheGamer#0332,1,2,0,14
1,3,"Raffine, Scheming Seer",themudman#8734,15,GMT +1,OlafTheMoose#5751,1,2,TitanLord#4251,1,2,Myriad58#5983,2,0,33,50
3,3,"Kethis, the Hidden Hand",OlafTheMoose#5751,16,GMT +1,Freyalisër#3719,2,0,themudman#8734,2,1,artillect#8709,2,1,100,75
2,3,"Rusko, Clockmaker",inkheart#1346,17,GMT -6,Kalitas#5029,0,2,AndenTheGamer#0332,2,1,artillect#8709,2,1,67,50
1,3,"Niv-Mizzet, Parun",AndenTheGamer#0332,18,GMT +1,inkheart#1346,1,2,Kalitas#5029,0,2,Freyalisër#3719,2,1,33,38
3,3,Acererak the Archlich,Kalitas#5029,19,GMT +1,AndenTheGamer#0332,2,0,inkheart#1346,2,0,Dozer32#6928,2,1,100,86
1,3,"Feather, the Redeemed",artillect#8709,20,GMT -7,inkheart#1346,1,2,Dozer32#6928,2,0,OlafTheMoose#5751,1,2,33,50
0,3,Soul of Windgrace,Dozer32#6928,21,GMT -5,artillect#8709,0,2,Lordofatlantis33#26519,1,2,Kalitas#5029,1,2,0,25
3,3,"Emry, Lurker of the Loch",Lordofatlantis33#26519,22,GMT -5,Dozer32#6928,2,1,WrightJustice#3078,2,1,SalTheBard#4280,2,0,100,75
0,3,The First Sliver,WrightJustice#3078,23,GMT,Lordofatlantis33#26519,1,2,bratstva45 #7456,1,2,Coft#0794,0,2,0,25
3,3,"Golos, Tireless Pilgrim",bratstva45 #7456,24,GMT -8,WrightJustice#3078,2,1,SalTheBard#4280,2,0,smurph#7256,2,1,100,75
0,3,"Xanathar, Guild Kingpin",SalTheBard#4280,28,GMT -6,bratstva45 #7456,0,2,Coft#0794,0,2,Lordofatlantis33#26519,0,2,0,0
3,3,"Ob Nixilis, the Adversary",Coft#0794,33,GMT +1,SalTheBard#4280,2,0,smurph#7256,2,0,WrightJustice#3078,2,0,100,100
1,3,"Snapdex, Apex of the Hunt",smurph#7256,38,GMT -5,Coft#0794,0,2,bratstva45 #7456,1,2,BYE,2,0,33,43
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,
