Wins,Matches,Discord tag,R,Commander,Time Zone,Week 1 Opponents,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,OMW%,# G,GW,GW%
3,3,melamed#6695,1,"Atraxa, Grand Unifier",GMT -8,"Martianlegacy#4781
artillect#8709
Jollto#6429",MatmaTaTor#9428,2,0,Freyalisër#3719,2,0,Dozer32#6928,2,1,100,33%,7,6,86%
1,3,MatmaTaTor#9428,2,"Nissa, Ascended Animist",GMT +1,"bratstva45 #7456
inkheart#1346
Distant#5141",melamed#6695,0,2,Freyalisër#3719,0,2,Dozer32#6928,2,1,33,56%,7,2,29%
1,3,Freyalisër#3719,3,"Niv-Mizzet, Parun",GMT +1,"BirthingPodder#6911
LordKaiju_2#1660
jsc6518#1318",melamed#6695,0,2,MatmaTaTor#9428,2,0,Dozer32#6928,1,2,33,56%,7,3,43%
1,3,Dozer32#6928,4,"Sythis, Harvests Hand",GMT -5,"AndenTheGamer#0332
Zenen#8628
OlafTheMoose#5751",melamed#6695,1,2,MatmaTaTor#9428,1,2,Freyalisër#3719,2,1,33,56%,9,4,44%
1,3,Skull (romain)#3826,5,"Kinnan, Bonder Prodigy",GMT +1,"HAzor#3981
Kalitas#5029
MathemaTiGer128#0607",MatthieuCrnll(Hobbrick)#6553,2,1,themudman#8734,0,2,Flashfan2#8956,0,2,33,56%,7,2,29%
1,3,MatthieuCrnll(Hobbrick)#6553,6,"Adeline, Resplendent Cathar",GMT +1,"Luke99HS#92074
HAzor#3981
Coft#0794",Skull (romain)#3826,1,2,themudman#8734,2,0,Flashfan2#8956,1,2,33,56%,8,4,50%
1,3,themudman#8734,7,"Raffine, Scheming Seer",GMT +1,"Coft#0794
MathemaTiGer128#0607
HAzor#3981",Skull (romain)#3826,2,0,MatthieuCrnll(Hobbrick)#6553,0,2,Flashfan2#8956,0,2,33,56%,6,2,33%
3,3,Flashfan2#8956,8,"Raffine, Scheming Seer",GMT -5,#N/A,Skull (romain)#3826,2,0,MatthieuCrnll(Hobbrick)#6553,2,1,themudman#8734,2,0,100,33%,7,6,86%
1,3,Mobboss#5574,9,"Teferi, Hero of Dominaria",GMT +8,"smurph#7256
MidasRight#22350
SalTheBard#4280",Dracosinus#5200,0,2,Hissp#8379,2,1,TitanLord#4251,1,2,33,56%,8,3,38%
2,3,Dracosinus#5200,10,"Kinnan, Bonder Prodigy",GMT +1,"SalTheBard#4280
grimstien1#5556
MidasRight#22350",Mobboss#5574,2,0,Hissp#8379,2,0,TitanLord#4251,1,2,67,44%,7,5,71%
0,3,Hissp#8379,11,"Sythis, Harvests Hand",GMT -5,"Myriad58#5983
jsc6518#1318
BirthingPodder#6911",Mobboss#5574,1,2,Dracosinus#5200,0,2,TitanLord#4251,0,2,0,67%,7,1,14%
3,3,TitanLord#4251,12,"Teferi, Hero of Dominaria",GMT -6,"LordKaiju_2#1660
LJ347#9371
Lordofatlantis33#26519",Mobboss#5574,2,1,Dracosinus#5200,2,1,Hissp#8379,2,0,100,33%,8,6,75%
