Wins,Matches,Discord tag,R,Commander,Time Zone,Week 1 Opponents,Week 2 Opponents,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,OMW%,# G,GW,GW%
2,3,melamed#6695,1,"Atraxa, Grand Unifier",GMT -8,"artillect#8709
Martianlegacy#4781
Jollto#6429","MatMa
Freya
Dozer",Flashfan2#8956,2,1,TitanLord#4251,0,2,Scales96#6411,2,0,67,44%,7,4,57%
1,3,Flashfan2#8956,2,"Raffine, Scheming Seer",GMT -5,#N/A,"Skull
Hobbrick
Mudman",TitanLord#4251,1,2,Scales96#6411,2,1,melamed#6695,1,2,33,56%,9,4,44%
3,3,TitanLord#4251,3,"Teferi, Hero of Dominaria",GMT -6,"LJ347#9371
LordKaiju_2#1660
Lordofatlantis33#26519","Mobb
Draco
Hissp",Scales96#6411,2,0,melamed#6695,2,0,Flashfan2#8956,2,1,100,33%,7,6,86%
0,3,Scales96#6411,4,"Elenda, the Dusk Rose",GMT +1,"Kalitas#5029
OlafTheMoose#5751
AndenTheGamer#0332","LJ
LordAtlantis
BirthingPodder",melamed#6695,0,2,Flashfan2#8956,1,2,TitanLord#4251,0,2,0,67%,7,1,14%
3,3,Dracosinus#5200,5,"Adeline, Resplendent Cathar",GMT +1,"SalTheBard#4280
SalTheBard#4280
MidasRight#22350","Mobb
Hissp
TitanLord",Distant#5141,2,0,LordKaiju_2#1660,2,0,MatmaTaTor#9428,2,0,100,0%,6,6,100%
0,3,Distant#5141,6,"Baral, Chief of Compliance",GMT -5,"Humblerbee#5050
Zenen#8628
MatmaTaTor#9428","LordKaiju
MartianLegacy
Jollto",Freyalisër#3719,1,2,Dozer32#6928,0,2,Dracosinus#5200,0,2,0,78%,7,1,14%
0,2,LordKaiju_2#1660,7,"Raffine, Scheming Seer",GMT -8,"TitanLord#4251
Freyalisër#3719
firewolf#6439","Distant
Martian
Jollto",MatmaTaTor#9428,,,Dracosinus#5200,0,2,Dozer32#6928,1,2,0,56%,5,1,20%
0,2,MatmaTaTor#9428,8,"Jhoira, Ageless Innovator",GMT +1,"bratstva45 #7456
inkheart#1346
Distant#5141","melamed
Freya
Dozer",Dracosinus#5200,0,2,Luke99HS#92074,0,2,LordKaiju_2#1660,,,0,56%,4,0,0%
2,3,Freyalisër#3719,9,"Niv-Mizzet, Parun",GMT +1,"BirthingPodder#6911
LordKaiju_2#1660
jsc6518#1318","melamed
Matma
Dozer",Luke99HS#92074,2,1,MatthieuCrnll(Hobbrick)#6553,1,2,Distant#5141,2,1,67,44%,9,5,56%
2,3,Dozer32#6928,10,"Sythis, Harvests Hand",GMT -5,"AndenTheGamer#0332
Zenen#8628
OlafTheMoose#5751","melamed
Matma
Freya",LordKaiju_2#1660,2,1,Distant#5141,2,0,MatthieuCrnll(Hobbrick)#6553,1,2,67,22%,8,5,63%
2,3,Luke99HS#92074,11,"Atraxa, Grand Unifier",GMT +1,"MidasRight#22350
MatthieuCrnll(Hobbrick)#6553
grimstien1#5556","Brats
Arti
Humbler",themudman#8734,2,0,MatmaTaTor#9428,2,0,Freyalisër#3719,1,2,67,22%,7,5,71%
2,3,MatthieuCrnll(Hobbrick)#6553,12,"Adeline, Resplendent Cathar",GMT +1,"Luke99HS#92074
HAzor#3981
Coft#0794","Flash
Mud
Skull",Dozer32#6928,2,1,Freyalisër#3719,2,1,Mobboss#5574,1,2,67,78%,9,5,56%
0,3,themudman#8734,13,"Raffine, Scheming Seer",GMT +1,"Coft#0794
MathemaTiGer128#0607
HAzor#3981","Flash
Hobbrick
Skull",Mobboss#5574,1,2,BirthingPodder#6911,1,2,Luke99HS#92074,0,2,0,78%,8,2,25%
1,3,Skull (romain)#3826,14,"Kinnan, Bonder Prodigy",GMT +1,"HAzor#3981
Kalitas#5029
MathemaTiGer128#0607","Flash
Hobbrick
Mud",HAzor#3981,2,1,Mobboss#5574,1,2,BirthingPodder#6911,0,2,33,67%,8,3,38%
3,3,Mobboss#5574,15,"Rusko, Clockmaker",GMT +8,"smurph#7256
MidasRight#22350
SalTheBard#4280","Draco
Hisp
Titan",MatthieuCrnll(Hobbrick)#6553,2,1,themudman#8734,2,1,Skull (romain)#3826,2,1,100,33%,9,6,67%
1,3,HAzor#3981,16,Narset of the Ancient Way,GMT -6,"MatthieuCrnll(Hobbrick)#6553
Skull (romain)#3826
themudman#8734","Wright
Sal
Smurph",BirthingPodder#6911,2,0,Skull (romain)#3826,1,2,Coft#0794,1,2,33,56%,8,4,50%
2,3,BirthingPodder#6911,17,"Adeline, Resplendent Cathar",GMT -4,"artillect#8709
Freyalisër#3719
Hissp#8379","Scales
LJ
Lordofatlantis",Skull (romain)#3826,2,0,HAzor#3981,0,2,themudman#8734,2,1,67,22%,7,4,57%
