Wins,Matches,Discord tag,R,Commander,Time Zone,Week 1 Opponents,Week 2 Opponents,Week 3 Opponents,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,OMW%,# G,GW,GW%
3,3,TitanLord#4251,1,"Teferi, Hero of Dominaria",GMT -6,"LordKaiju_2#1660
LJ347#9371
Lordofatlantis33#26519","Mobboss#5574
Dracosinus#5200
Hissp#8379","Scales96#6411
melamed#6695
Flashfan2#8956",MatthieuCrnll(Hobbrick)#6553,2,0,Freyalisër#3719,2,0,Dozer32#6928,2,0,100%,33%,6,6,100%
0,3,melamed#6695,2,"Rusko, Clockmaker",GMT -8,"artillect#8709
Martianlegacy#4781
Jollto#6429","MatmaTaTor#9428
Freyalisër#3719
Dozer32#6928","Flashfan2#8956
TitanLord#4251
Scales96#6411",Dracosinus#5200,0,2,Mobboss#5574,0,2,MatthieuCrnll(Hobbrick)#6553,0,2,0%,56%,6,0,0%
2,3,Dracosinus#5200,3,"Adeline, Resplendent Cathar",GMT +1,"grimstien1#5556
SalTheBard#4280
MidasRight#22350","Mobboss#5574
Hissp#8379
TitanLord#4251","Distant#5141
LordKaiju_2#1660
MatmaTaTor#9428",Freyalisër#3719,2,0,Flashfan2#8956,1,2,melamed#6695,2,0,67%,22%,7,5,71%
2,3,Flashfan2#8956,4,"Raffine, Scheming Seer",GMT -5,#N/A,"Skull (romain)#3826
MatthieuCrnll(Hobbrick)#6553
themudman#8734","TitanLord#4251
Scales96#6411
melamed#6695",Dozer32#6928,1,2,Dracosinus#5200,2,1,Mobboss#5574,2,1,67%,67%,9,5,56%
2,3,Mobboss#5574,5,"Rusko, Clockmaker",GMT +8,"smurph#7256
MidasRight#22350
SalTheBard#4280","Dracosinus#5200
Hissp#8379
TitanLord#4251","MatthieuCrnll(Hobbrick)#6553
themudman#8734
Skull (romain)#3826",Flashfan2#8956,1,2,melamed#6695,2,0,Freyalisër#3719,2,0,67%,22%,7,5,71%
1,3,MatthieuCrnll(Hobbrick)#6553,6,"Adeline, Resplendent Cathar",GMT +1,"Luke99HS#92074
HAzor#3981
Coft#0794","Skull (romain)#3826
themudman#8734
Flashfan2#8956","Dozer32#6928
Freyalisër#3719
Mobboss#5574",melamed#6695,2,0,OlafTheMoose#5751,0,2,TitanLord#4251,0,2,33%,56%,6,2,33%
0,3,Freyalisër#3719,7,"Niv-Mizzet, Parun",GMT +1,"LordKaiju_2#1660
BirthingPodder#6911
jsc6518#1318","melamed#6695
MatmaTaTor#9428
Dozer32#6928","Luke99HS#92074
MatthieuCrnll(Hobbrick)#6553
Distant#5141",Mobboss#5574,0,2,TitanLord#4251,0,2,Dracosinus#5200,0,2,0%,78%,6,0,0%
2,3,Dozer32#6928,8,"Sythis, Harvests Hand",GMT -5,"Zenen#8628
AndenTheGamer#0332
OlafTheMoose#5751","melamed#6695
MatmaTaTor#9428
Freyalisër#3719","LordKaiju_2#1660
Distant#5141
MatthieuCrnll(Hobbrick)#6553",TitanLord#4251,0,2,Luke99HS#92074,2,1,Flashfan2#8956,2,1,67%,78%,8,4,50%
2,3,Luke99HS#92074,9,"Atraxa, Grand Unifier",GMT +1,"MatthieuCrnll(Hobbrick)#6553
MidasRight#22350
grimstien1#5556","bratstva45 #7456
artillect#8709
Humblerbee#5050","themudman#8734
MatmaTaTor#9428
Freyalisër#3719",Coft#0794,2,1,Dozer32#6928,1,2,OlafTheMoose#5751,2,0,67%,44%,8,5,63%
0,3,Coft#0794,10,"Ob Nixilis, the Adversary",GMT +1,"grimstien1#5556
themudman#8734
MatthieuCrnll(Hobbrick)#6553","MidasRight#22350
MathemaTiGer128#0607
inkheart#1346","OlafTheMoose#5751
Kalitas#5029
HAzor#3981",BirthingPodder#6911,1,2,Skull (romain)#3826,0,2,Luke99HS#92074,1,2,0%,78%,8,2,25%
