Wins,Matches,Commander,Discord tag,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
1,3,"Esika, God of the Tree",AndenTheGamer#0332,GMT +2,whatdoesitdo?#1249,2,0,Hissp#8379,1,2,MatmaTaTor#9428,1,2,33,50
1,3,"Kaya, Intangible Slayer",Arkinul#5162,GMT +2,Nagsor Inàste#1183,1,2,Lordofatlantis33#26519,2,1,Myriad58#5983,0,2,33,38
3,3,Geist of Saint Traft,artillect#8709,GMT -7,Drakonnan#5050,2,0,Stoytchnasty#4363,2,1,rpuffs95#4356,2,1,100,75
3,3,"Tamiyo, Field Researcher",BirthingPodder#6911,GMT -4,Kalitas#5029,2,1,Nagsor Inàste#1183,2,0,BlakeMTG#7432,2,1,100,75
2,3,"Baral, Chief of Compliance",Bishamon#6209,GMT -5,bratstva45 #7456,2,1,jolox#4306,0,2,DarkFlameMaster ⬛🔥#0427,2,0,67,57
0,2,"Tatyova, Benthic Druid",BlakeMTG#7432,GMT -4,Iron#3684,,,OlafTheMoose#5751,0,2,BirthingPodder#6911,1,2,0,20
1,3,"Extus, Oriq Overlord",Boat#7130,GMT -5,rpuffs95#4356,2,0,bobbybim#0953,1,2,Stoytchnasty#4363,1,2,33,50
1,3,"Muldrotha, the Gravetide",bobbybim#0953,GMT -7,Boat#7130,2,1,whatdoesitdo?#1249,0,2,Luke99HS#92074,0,2,33,29
0,3,"Atraxa, Grand Unifier",bratstva45 #7456,GMT -8,melamed#6695,0,2,Bishamon#6209,1,2,Dozer32#6928,0,2,0,14
1,3,"Gix, Yawgmoth Praetor",CherryLandGaming#6969,GMT -4,themudman#8734,1,2,Iron#3684,2,0,inkheart#1346,1,2,33,50
0,3,"Elas il-Kor, Sadistic Pilgrim",DarkFlameMaster ⬛🔥#0427,GMT+2,Dozer32#6928,0,2,grimstien1#5556,0,2,Bishamon#6209,0,2,0,0
1,3,"Teferi, Hero of Dominaria",Distant#5141,GMT -5,Myriad58#5983,1,2,Flashfan2#8956,0,2,Lordofatlantis33#26519,2,1,33,38
3,3,"Sythis, Harvests Hand",Dozer32#6928,GMT -5,Hissp#8379,2,0,DarkFlameMaster ⬛🔥#0427,2,0,bratstva45 #7456,2,0,100,100
